id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,sale_price_effective_date,gtin,brand,mpn,item_group_id,gender,age_group,color,size,shipping,shipping_weight,additional_image_link,expiration_date,material,pattern,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,ios_url,ios_app_store_id,ios_app_name,iphone_url,iphone_app_store_id,iphone_app_name,ipad_url,ipad_app_store_id,ipad_app_name,android_url,android_package,android_app_name,windows_phone_url,windows_phone_app_id,windows_phone_app_name
500000068,Bouquet De 12 Roses Creme Artificielles Et Feuillage Hauteur 25 Cm - Choisissez Votre Coloris: Crème - Taille : TU,"Superbe Bouquet De 12 Roses Artificielles, Herbe Et Feuillage Hauteur 25 Cm Et Diamètre 18 Cm Environ. De Toute Beauté. Superbe Qualité, Très Belle Apparence, Réalisme Étonnant. Vous Pouvez Détacher Le Raphia Pour Obtenir 12 Roses Individuelles Artificielles Avec Feuillage. Diamètre Des Fleurs 6 Cm Environ- Taille : TU",,,https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/a/3/4/a34658b11a1bab17a79feb4c549ec5a9.jpg,new,in stock,10.24,,,$ur,ARTIFICIELLES,3661838010929,500000068,,,Cr Me,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/a/3/4/a34658b11a1bab17a79feb4c549ec5a9.jpg,,,,laredoute://?a=500000068,,,,,laredoute://?a=500000068,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000068,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000077,Bouquet De Roses Et Hortensias Artificielles Blanc-vert 13 Tetes Diametre 28 Cm - Choisissez Votre C - Taille : TU,Superbe Bouquet De Fleurs Artificielles Composé De 18 Tiges Dont 13 Têtes De Fleurs : 11 Roses Et 2 Hortensia Et Avec Du Feuillage Et Le Tout Lié. C'est Du Très Beau Bouquet Hauteur 35 Cm Et Diamètre 28 Cm Environ. Vous Pouvez Aussi Détacher Le Bouquet!- Taille : TU,,,https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/6/b/c/6bc15e000d5cc57efa8ea253999226e6.jpg,new,in stock,30.88,,,$ur,ARTIFICIELLES,3661838011483,500000077,,,Lavande;Blanc/Vert,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/6/b/c/6bc15e000d5cc57efa8ea253999226e6.jpg,,,,laredoute://?a=500000077,,,,,laredoute://?a=500000077,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000077,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000249,Palmier Kentia Artificiel 11 Tiges H 260 Cm 344 Feuilles Artificielles - Choisissez La Hauteur: H 26 - Taille : TU,Palmier Kentia Artificiel 11 Tiges H 260 Cm 344 Feuilles Artificielles - Choisissez La Hauteur: H 260 Cm- Taille : TU,Maison et jardin > Pelouses et jardins > Jardinage > Pots et cache-pots,"Meubles, déco > Jardin > Jardinage > Pot, bac, jardinière",https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/a/3/d/a3de93852fcaf73f3f8ffb41cdf87a63.jpg,new,in stock,368.92,,,$ur,ARTIFICIELLES,3661838028603,500000249,,,Couleur Unique,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/a/3/d/a3de93852fcaf73f3f8ffb41cdf87a63.jpg,,Plastique,,laredoute://?a=500000249,,,,,laredoute://?a=500000249,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000249,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000302,Bouquet De 6 Fleurs De Lotus Artificiel Rose Rouge D 30 Cm Avec Feuillage - Choisissez Votre Couleur - Taille : TU,"Voici Un Bouquet Haut De Gamme Par Ses Qualités De Finitions. 4 Superbes Fleurs Artificielles De Lotus Rose-rouge D 10 Cm Environ Et 2 Gros Boutons Montés En Bouquet. Diamètre 30 Cm H 27 Cm. Le Bouquet Peut Être Séparé En Coupant En Coupant Le Lien Pour Obtenir 6 Feuilles, 4 Fleurs Et 2 Boutons.- Taille : TU",,,https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/0/5/2/05228e5d14a192232dc18ce45921e793.jpg,new,in stock,18.81,,,$ur,ARTIFICIELLES,3661838040643,500000302,,,Rose/Rouge;Champagne,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/c/e/e/ceeb26494ab0726af9306a800290b93f.jpg,,,,laredoute://?a=500000302,,,,,laredoute://?a=500000302,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000302,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000303,Lotus En Fleur Zihia Artificiel Fushia H 50 Cm Tres Belle Tete D 11 Cm - Choisissez Votre Coloris: F - Taille : TU,"Voici La Fleur Tout Droit Venue Du Pays Du Soleil Levant, La Fleur De Lotus. Elle Est Juste Magnifique Et Bluffante De Réalisme Par Sa Texture. Cette Tige Mesure 50 Cm Et Sa Fleur A Un Diamètre D'environ 11 Cm Et Une Hauteur De 8 Cm. Fleur Artificielle En Tissu Gaufré Top Qualité- Taille : TU",,,https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/0/5/d/05d025fd0f131c76e27ce121d394bdd1.jpg,new,in stock,3.59,,,$ur,ARTIFICIELLES,3661838040674,500000303,,,Fushia,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/0/5/d/05d025fd0f131c76e27ce121d394bdd1.jpg,,Plastique,,laredoute://?a=500000303,,,,,laredoute://?a=500000303,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000303,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000304,Arum Calla Fleur Artificielle Verte H 42 Cm Superbe - Choisissez Votre Coloris: Vert - Taille : TU,"Arum Calla Fleur Artificielle H 42 Cm Superbe. Fleur En Mousse Pu. Superbe. Fleur Longueur 8 Cm, Largeur 5 Cm Et Hauteur 8 Cm Environ- Taille : TU",,,https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/a/8/6/a8654364e3287f33405c133dd5f66a3d.jpg,new,in stock,2.63,,,$ur,ARTIFICIELLES,3661838040711,500000304,,,Aubergine;Champagne;Couleur Unique,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/d/6/4/d6408104ec1bf356e1830499146bbcb9.jpg,,Plastique,,laredoute://?a=500000304,,,,,laredoute://?a=500000304,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000304,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000311,Poivron Légume Artificiel Avec Poids H 85 Mm Vert - Choisissez Votre Coloris: Vert - Taille : TU,Poivron Légume Artificiel Avec Poids 10cm- Taille : TU,"Meubles, déco > Décoration > Vase, cache pot d'intérieur","Meubles, déco > Décoration > Vase, cache pot d'intérieur",https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/b/5/8/b58308bcfa436e7b2667d7523c0e33ce.jpg,new,in stock,3.39,,,$ur,ARTIF-DECO,3661838041787,500000311,,,Rouge Cerise;Vert,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/d/c/1/dc1e31e19c6d4f4ac125d20edcbb4bd6.jpg,,,,laredoute://?a=500000311,,,,,laredoute://?a=500000311,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000311,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000312,Mini Plante Topiaire Violet Deco H 25 Cm En Pot Plastique Blanc Superbe - Choisissez Votre Coloris: - Taille : TU,"Mini Plante Topiaire Deco H 25 Cm En Pot Plastique Blanc Superbe. Diamètre De La Tête : 14cm, Pot Hauteur : 9cm D : 9,50 Cm Environ, Pot Plastique Finition Herbe, Superbe !- Taille : TU",,,https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/7/e/b/7ebe2bbf3726a4771e89c5788a8deda9.jpg,new,in stock,14.43,,,$ur,ARTIF-DECO,3661838041947,500000312,,,Violet;Vert/Jaune;Vert,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/6/4/4/644bd572c9548552b90289a3b682580f.jpg,,,,laredoute://?a=500000312,,,,,laredoute://?a=500000312,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000312,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000317,Corail En Piquets X12 Vert H 52 Cm Plastique Superbe En Bouquet - Choisissez Votre Coloris: Vert Pom - Taille : TU,"Magnifique Corail En Lot De 12 Piquets H 52 Cm Plastique Superbe En Bouquet Pour Tous Usages. Ils Peuvent Se Piquer Partout, À L'extérieur Comme Dans Les Rayons Poissons. Diamètre Du Piquet Au Plus Large : 2.50 Cm Environ- Taille : TU",Maison et jardin,"Meubles, déco > Décoration > Fleurs et fruits artificiels",https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/3/9/9/3998e291ae7498fad8fdc8ce66eff21e.jpg,new,in stock,4.97,,,$ur,ARTIF-DECO,3661838042166,500000317,,,Vert Pomme;Rouge Cerise,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/d/5/a/d5aebab34601a97ad99f843a59b838e2.jpg,,,,laredoute://?a=500000317,,,,,laredoute://?a=500000317,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000317,com.ocito.laredoute,La Redoute - Mode & Maison,,,
500000318,Branche De Cerisier Prunus Creme Artificiel H 120 Cm Top - Choisissez Votre Coloris: Crème - Taille : TU,Magnifique Branche De Cerisier Prunus Artificiel H 120 Cm Top. Très Fleurie. Une Densité Rare- Taille : TU,,,https://comapny.app.link/3p?%243p=a_facebook&~secondary_ad_format=App+Install+Ads&~advertising_partner_name=Facebook&%24one_time_use=false&~branch_ad_format=App+Only&~channel=Facebook&~feature=paid+advertising,https://cdn.laredoute.com/products/1200by1200/2/9/7/297064b9dfae16f6044c9ab5f5eb158f.jpg,new,in stock,8.57,,,$ur,ARTIF-DECO,3661838042234,500000318,,,Cr Me,Taille Unique,FR:6.90,,https://cdn.laredoute.com/products/1200by1200/3/7/0/3709c908458287c2ea41ab8556835adf.jpg,,,,laredoute://?a=500000318,,,,,laredoute://?a=500000318,393136788,La Redoute - Mode & Maison,,,,,,,laredoute://?a=500000318,com.ocito.laredoute,La Redoute - Mode & Maison,,,
